,title,budget,popularity,production_companies,release_date,runtime,revenue,status,vote_average,vote_count,Year
439,Shutter Island,80000000,81.91469599999999,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Sikelia Productions"", ""id"": 23243}]",2010-02-18,138.0,294804195,Released,7.8,6336,2010
440,Four Christmases,80000000,19.500892999999998,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Type A Films"", ""id"": 2308}, {""name"": ""Ott Medien"", ""id"": 2795}, {""name"": ""Wild West Picture Show Productions"", ""id"": 2796}]",2008-11-26,88.0,163733697,Released,5.3,331,2008
441,Robots,75000000,29.558157,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",2005-03-10,91.0,260696994,Released,6.0,1333,2005
443,Bedtime Stories,80000000,23.531720999999997,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Gunn Films"", ""id"": 3538}]",2008-12-24,99.0,212874442,Released,5.9,901,2008
444,Road to Perdition,80000000,49.078546,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""The Zanuck Company"", ""id"": 80}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",2002-07-12,117.0,181001478,Released,7.3,1077,2002
445,Just Go with It,80000000,37.02665,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]",2011-02-10,117.0,214918407,Released,6.3,1543,2011
447,Eagle Eye,80000000,46.887983,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""KMP Film Invest"", ""id"": 20157}]",2008-09-25,118.0,178066569,Released,6.3,1018,2008
448,Cold Mountain,79000000,24.598479,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Castel Film Romania"", ""id"": 1370}, {""name"": ""Bona Fide Productions"", ""id"": 2570}, {""name"": ""Cattleya"", ""id"": 10102}]",2003-12-24,154.0,173013509,Released,6.7,533,2003
449,The Book of Eli,80000000,32.363538,"[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Silver Pictures"", ""id"": 1885}]",2010-01-14,118.0,157107755,Released,6.6,2164,2010
451,The Haunting,80000000,19.375768,"[{""name"": ""DreamWorks"", ""id"": 7}, {""name"": ""Roth-Arnold Productions"", ""id"": 1560}]",1999-07-23,113.0,91188905,Released,5.2,369,1999
453,The Pink Panther,0,25.450534,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""The Montecito Picture Company"", ""id"": 2364}, {""name"": ""Robert Simonds Productions"", ""id"": 3929}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2006-01-18,93.0,0,Released,5.6,550,2006
454,The Day the Earth Stood Still,80000000,41.890722,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment III"", ""id"": 6332}, {""name"": ""Earth Canada Productions"", ""id"": 20374}, {""name"": ""Hammerhead Productions"", ""id"": 20375}, {""name"": ""3 Arts Entertainment"", ""id"": 36390}]",2008-12-10,104.0,233093859,Released,5.2,1043,2008
456,Fury,68000000,139.575085,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Crave Films"", ""id"": 16312}, {""name"": ""LStar Capital"", ""id"": 34034}, {""name"": ""Huayi Brothers Media"", ""id"": 39649}, {""name"": ""Le Grisbi Productions"", ""id"": 47169}]",2014-10-15,135.0,211817906,Released,7.4,3946,2014
458,Yogi Bear,80000000,11.187696,"[{""name"": ""De Line Pictures"", ""id"": 2609}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Sunswept Entertainment"", ""id"": 5219}, {""name"": ""Rhythm and Hues"", ""id"": 13481}, {""name"": ""Picnic Basket"", ""id"": 19045}]",2010-12-11,80.0,201584141,Released,5.2,220,2010
459,Spirit: Stallion of the Cimarron,80000000,41.670544,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",2002-05-24,83.0,122563539,Released,7.4,831,2002
460,Zookeeper,80000000,27.462640000000004,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Sony Pictures Releasing"", ""id"": 3045}, {""name"": ""Broken Road Productions"", ""id"": 8000}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Zookeeper Productions"", ""id"": 46221}, {""name"": ""Hey Eddie"", ""id"": 46222}]",2011-07-06,102.0,169852759,Released,5.3,498,2011
462,The Manchurian Candidate,80000000,21.394281,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Clinica Estetico"", ""id"": 1274}]",2004-07-30,129.0,96105964,Released,6.2,393,2004
464,Hotel Transylvania 2,80000000,61.692197,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}]",2015-09-21,89.0,473226958,Released,6.7,1497,2015
465,Fantasia 2000,80000000,14.530945999999998,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",1999-12-17,74.0,90874570,Released,7.0,292,1999
466,The Time Machine,80000000,25.978555,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Warner Bros."", ""id"": 6194}]",2002-03-04,96.0,123729176,Released,5.8,631,2002
468,Swordfish,102000000,36.788745,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Jonathan Krane Group"", ""id"": 46458}]",2001-06-07,99.0,147080413,Released,6.1,932,2001
469,The Legend of Zorro,75000000,31.054334000000004,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",2005-10-24,129.0,142400065,Released,5.9,893,2005
471,Little Nicky,85000000,18.335992,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Avery Pix"", ""id"": 1565}, {""name"": ""Happy Madison Productions"", ""id"": 2608}]",2000-11-10,90.0,0,Released,5.2,438,2000
472,The Brothers Grimm,88000000,40.138009000000004,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Reforma Films"", ""id"": 1649}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2005-08-26,118.0,105316267,Released,5.6,818,2005
474,Evolution,0,3.300061,"[{""name"": ""Ex Nihilo"", ""id"": 3307}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Les films du Worso"", ""id"": 7395}, {""name"": ""Noodles Production"", ""id"": 7792}, {""name"": ""Cin\u00e9+"", ""id"": 10611}, {""name"": ""Scope Pictures"", ""id"": 11199}, {""name"": ""Le Tax Shelter du Gouvernement F\u00e9d\u00e9ral de Belgique"", ""id"": 11921}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Minist\u00e8re de la Culture et de la Communication"", ""id"": 25818}, {""name"": ""Volcano Films"", ""id"": 52184}, {""name"": ""Left Field Ventures"", ""id"": 58659}, {""name"": ""Evo Films A.I.E."", ""id"": 76444}, {""name"": ""Ind\u00e9films 3"", ""id"": 76445}, {""name"": ""Palatine \u00c9toile 12"", ""id"": 76446}, {""name"": ""Cin\u00e9feel Prod"", ""id"": 76447}]",2015-09-14,81.0,0,Released,6.4,47,2015
476,Surrogates,80000000,36.664991,"[{""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Mandeville Films"", ""id"": 10227}, {""name"": ""Wintergreen Productions"", ""id"": 11845}, {""name"": ""Top Shelf Productions"", ""id"": 41978}]",2009-09-24,89.0,122444772,Released,5.9,1195,2009
477,Thirteen Days,80000000,18.261210000000002,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Tig Productions"", ""id"": 335}]",2000-12-24,145.0,34566746,Released,6.9,189,2000
479,Walking With Dinosaurs,80000000,10.088006,"[{""name"": ""BBC Worldwide"", ""id"": 3164}, {""name"": ""Reliance BIG Entertainment"", ""id"": 6733}, {""name"": ""Animal Logic"", ""id"": 8089}, {""name"": ""BBC Earth"", ""id"": 8090}, {""name"": ""Evergreen Films"", ""id"": 8091}, {""name"": ""BBC Earth MD (WWD)"", ""id"": 53498}, {""name"": ""Evergreen MD"", ""id"": 53499}]",2013-12-18,87.0,126546518,Released,5.2,133,2013
480,Battlefield Earth,44000000,7.89147,"[{""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""JTP Films"", ""id"": 7406}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Battlefield Productions"", ""id"": 19718}]",2000-05-10,118.0,21400000,Released,3.0,255,2000
481,Looney Tunes: Back in Action,80000000,16.715631,"[{""name"": ""Lonely Film Productions GmbH & Co. KG."", ""id"": 430}, {""name"": ""Warner Bros. Animation"", ""id"": 2785}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Warner Bros. Feature Animation"", ""id"": 20734}]",2003-11-14,90.0,68514844,Released,5.6,297,2003
482,Nine,80000000,9.357733999999999,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Relativity Media"", ""id"": 7295}]",2009-12-03,112.0,53825515,Released,5.1,165,2009
483,Timeline,80000000,11.22268,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Mutual Film Company"", ""id"": 762}, {""name"": ""Cobalt Media Group"", ""id"": 18619}, {""name"": ""Artists Production Group (APG)"", ""id"": 18620}]",2003-11-26,116.0,19480739,Released,5.4,318,2003
486,The Last Witch Hunter,90000000,52.612025,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""One Race Films"", ""id"": 7154}, {""name"": ""Goldmann Pictures"", ""id"": 12006}, {""name"": ""NeoReel"", ""id"": 24097}, {""name"": ""Aperture Entertainment"", ""id"": 33832}, {""name"": ""TIK Films"", ""id"": 72441}]",2015-10-21,106.0,146936910,Released,5.7,1316,2015
487,Red Planet,80000000,13.800656,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""The Canton Company"", ""id"": 22351}, {""name"": ""Mars Production Pty. Ltd."", ""id"": 53997}]",2000-11-10,106.0,33463969,Released,5.4,267,2000
488,Arthur and the Invisibles,86000000,27.097932,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Sofica Europacorp"", ""id"": 854}, {""name"": ""Avalanche Productions"", ""id"": 2525}, {""name"": ""EuropaCorp"", ""id"": 6896}]",2006-12-13,94.0,107944236,Released,6.0,639,2006
489,Oceans,0,10.706613,"[{""name"": ""Path\u00e9 Films"", ""id"": 4959}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""Participant Media"", ""id"": 6735}, {""name"": ""France T\u00e9l\u00e9vision"", ""id"": 7454}, {""name"": ""France 2 Cin\u00e9ma"", ""id"": 15671}, {""name"": ""France 3 Cinema"", ""id"": 16804}, {""name"": ""Centre National de la Cin\u00e9matographie (CNC)"", ""id"": 18367}, {""name"": ""Conseil R\u00e9gional du Calvados"", ""id"": 19267}, {""name"": ""R\u00e9gion Bretagne"", ""id"": 20346}, {""name"": ""Minist\u00e8re du D\u00e9veloppement Durable et de la Mer"", ""id"": 33250}, {""name"": ""JMH-TSR"", ""id"": 33251}, {""name"": ""HH Sheikha Salama bint Hamdan Al Nahyan"", ""id"": 33252}, {""name"": ""Conseil G\u00e9n\u00e9ral des C\u00f4tes d'Armor"", ""id"": 33253}, {""name"": ""Conseil G\u00e9n\u00e9ral du Morbihan"", ""id"": 33254}, {""name"": ""R\u00e9gion Basse-Normandie"", ""id"": 33255}]",2009-10-17,84.0,19406406,Released,7.3,111,2009
490,A Sound of Thunder,80000000,7.342892,"[{""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Baldwin Entertainment Group"", ""id"": 2234}, {""name"": ""Dante Entertainment"", ""id"": 2755}, {""name"": ""Crusader Entertainment"", ""id"": 2978}, {""name"": ""ETIC Films"", ""id"": 2979}, {""name"": ""Forge"", ""id"": 2980}, {""name"": ""QI Quality International GmbH Co. KG"", ""id"": 2981}, {""name"": ""Signature Pictures"", ""id"": 2982}, {""name"": ""ApolloMedia Distribution"", ""id"": 16850}, {""name"": ""Coco"", ""id"": 87847}, {""name"": ""Film 111"", ""id"": 87848}, {""name"": ""Jericho Productions Ltd."", ""id"": 87849}, {""name"": ""MFF (Sound of Thunder)"", ""id"": 87850}, {""name"": ""Matrix Film Finance"", ""id"": 87851}, {""name"": ""Scenario Lane Productions"", ""id"": 87852}]",2005-05-15,110.0,5989640,Released,4.8,111,2005
491,Pompeii,130000000,50.561849,"[{""name"": ""Impact Pictures"", ""id"": 248}, {""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Don Carmody Productions"", ""id"": 4253}, {""name"": ""FilmDistrict"", ""id"": 7263}, {""name"": ""Constantin Film International"", ""id"": 12162}]",2014-02-18,105.0,117831631,Released,5.2,1267,2014
492,Top Cat Begins,8000000,0.719996,"[{""name"": ""Anima Estudios"", ""id"": 9965}, {""name"": ""Discreet Art Productions"", ""id"": 79433}]",2015-10-30,89.0,0,Released,5.3,9,2015
493,A Beautiful Mind,60000000,59.248437,"[{""name"": ""Imagine Entertainment"", ""id"": 23}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}]",2001-12-11,135.0,313542341,Released,7.7,3009,2001
495,Journey 2: The Mysterious Island,79000000,40.723459000000005,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Contrafilm"", ""id"": 1836}, {""name"": ""Walden Media"", ""id"": 10221}]",2012-01-19,94.0,355692760,Released,5.8,1030,2012
496,Cloudy with a Chance of Meatballs 2,78000000,41.247402,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Sony"", ""id"": 649}]",2013-09-26,95.0,248384621,Released,6.4,915,2013
497,Red Dragon,78000000,10.083905,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2002-09-29,124.0,209196298,Released,6.7,1115,2002
498,Hidalgo,100000000,16.759252,"[{""name"": ""Casey Silver Productions"", ""id"": 877}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Dune Films"", ""id"": 19477}]",2004-03-05,136.0,108103450,Released,6.5,318,2004
499,Jack and Jill,79000000,22.132417999999998,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Broken Road Productions"", ""id"": 8000}]",2011-11-11,91.0,149673788,Released,4.1,604,2011
500,2 Fast 2 Furious,76000000,10.520961,"[{""name"": ""Mikona Productions GmbH & Co. KG"", ""id"": 24}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Ardustry Entertainment"", ""id"": 26281}]",2003-06-05,107.0,236350661,Released,6.2,2028,2003
501,The Little Prince,64000000,35.384423,"[{""name"": ""Onyx Films"", ""id"": 2203}, {""name"": ""NetFlix"", ""id"": 8858}, {""name"": ""Orange Studios"", ""id"": 15433}, {""name"": ""CityMation"", ""id"": 41042}, {""name"": ""On Entertainment"", ""id"": 59725}, {""name"": ""Zippcast Films"", ""id"": 60658}]",2015-07-29,92.0,97571250,Released,7.6,756,2015
502,The Invasion,80000000,15.673154,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]",2007-08-17,99.0,15071514,Released,5.7,359,2007
503,The Adventures of Rocky & Bullwinkle,76000000,8.981427,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Capella International"", ""id"": 594}, {""name"": ""KC Medien AG"", ""id"": 596}, {""name"": ""Tribeca Productions"", ""id"": 11391}]",2000-06-30,88.0,35134820,Released,3.9,87,2000
504,The Secret Life of Pets,75000000,31.482871999999997,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Fuji Television Network"", ""id"": 3341}, {""name"": ""Dentsu"", ""id"": 6452}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",2016-06-18,87.0,875958308,Released,5.9,3462,2016
505,The League of Extraordinary Gentlemen,78000000,47.436675,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""JD Productions"", ""id"": 475}, {""name"": ""International Production Company"", ""id"": 1507}, {""name"": ""Angry Films"", ""id"": 12087}, {""name"": ""Mediastream Dritte Film GmbH & Co. Beteiligungs KG"", ""id"": 19352}]",2003-07-11,110.0,179265204,Released,5.7,1155,2003
506,Despicable Me 2,76000000,136.886704,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",2013-06-25,98.0,970761885,Released,7.0,4637,2013
509,Madagascar,75000000,48.110909,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",2005-05-25,86.0,532680671,Released,6.6,3237,2005
510,Children of Men,76000000,35.387874,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Strike Entertainment"", ""id"": 655}, {""name"": ""Hit & Run Productions"", ""id"": 11429}]",2006-09-22,109.0,69959751,Released,7.4,2071,2006
511,X-Men,75000000,4.6689099999999994,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Donners' Company"", ""id"": 431}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Springwood Productions"", ""id"": 22969}, {""name"": ""Genetics Productions"", ""id"": 22970}]",2000-07-13,104.0,296339527,Released,6.8,4097,2000
512,Wanted,75000000,73.82289,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""Bazelevs Production"", ""id"": 1038}, {""name"": ""Kickstart Productions"", ""id"": 2526}, {""name"": ""Marc Platt Productions"", ""id"": 2527}, {""name"": ""Top Cow Productions"", ""id"": 2528}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Ringerike Zweite Filmproduktion"", ""id"": 23955}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2008-06-19,110.0,258270008,Released,6.4,2528,2008
514,Ice Age: The Meltdown,80000000,85.11505799999999,"[{""name"": ""Blue Sky Studios"", ""id"": 9383}, {""name"": ""Twentieth Century Fox Animation"", ""id"": 11749}]",2006-03-23,91.0,660940780,Released,6.5,2951,2006
515,50 First Dates,75000000,61.437585999999996,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""Flower Films (II)"", ""id"": 19813}]",2004-02-13,99.0,196482882,Released,6.6,2105,2004
516,Hairspray,50000000,31.160542,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Offspring Entertainment"", ""id"": 2378}, {""name"": ""Zadan / Meron Productions"", ""id"": 70994}]",2007-07-13,117.0,90450008,Released,6.5,709,2007
517,Exorcist: The Beginning,80000000,15.761384,"[{""name"": ""Morgan Creek Productions"", ""id"": 10210}, {""name"": ""Dominion Productions"", ""id"": 36452}]",2004-08-20,114.0,78000586,Released,4.7,183,2004
518,Inspector Gadget,75000000,17.561954999999998,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Caravan Pictures"", ""id"": 175}, {""name"": ""DiC Entertainment"", ""id"": 20477}]",1999-07-23,78.0,0,Released,4.3,318,1999
519,Now You See Me,75000000,71.124686,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""K/O Paper Products"", ""id"": 7296}, {""name"": ""SOIXAN7E QUIN5E"", ""id"": 23271}, {""name"": ""See Me Louisiana"", ""id"": 23272}]",2013-05-29,115.0,117698894,Released,7.3,5487,2013
520,Grown Ups,80000000,38.864027,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Happy Madison Productions"", ""id"": 2608}, {""name"": ""Relativity Media"", ""id"": 7295}]",2010-06-24,102.0,271430189,Released,6.0,1705,2010
521,The Terminal,60000000,57.753914,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Parkes/MacDonald Productions"", ""id"": 11084}]",2004-06-17,128.0,219417255,Released,7.0,1910,2004
522,Hotel for Dogs,35000000,13.25753,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}]",2009-01-16,100.0,73034460,Released,5.7,202,2009
523,Vertical Limit,75000000,13.318744,"[{""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Global Entertainment Productions GmbH & Company Medien KG"", ""id"": 9269}]",2000-12-08,124.0,215663859,Released,5.9,283,2000
524,Charlie Wilson's War,75000000,18.70031,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Participant Productions"", ""id"": 2030}, {""name"": ""Playtone Production"", ""id"": 2031}]",2007-12-19,102.0,119000410,Released,6.5,338,2007
525,Shark Tale,75000000,47.094369,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Pacific Data Images (PDI)"", ""id"": 520}, {""name"": ""DreamWorks Animation"", ""id"": 521}]",2004-09-20,90.0,367275019,Released,5.8,1557,2004
526,Dreamgirls,70000000,14.486310999999999,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Laurence Mark Productions"", ""id"": 415}]",2006-12-25,134.0,154937680,Released,6.6,284,2006
527,Be Cool,53000000,18.614720000000002,"[{""name"": ""Double Feature Films"", ""id"": 215}, {""name"": ""Jersey Films"", ""id"": 216}, {""name"": ""Nina Saxon Film Design"", ""id"": 1693}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",2005-03-04,118.0,95226116,Released,5.4,292,2005
528,Munich,70000000,29.035221999999997,"[{""name"": ""DreamWorks SKG"", ""id"": 27}, {""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Peninsula Films"", ""id"": 682}, {""name"": ""Alliance Atlantis Communications"", ""id"": 803}, {""name"": ""Kennedy/Marshall Company, The"", ""id"": 7383}, {""name"": ""Barry Mendel Productions"", ""id"": 17032}]",2005-12-22,164.0,130358911,Released,6.9,696,2005
529,Tears of the Sun,70000000,27.055085,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Michael Lobell Productions"", ""id"": 13473}]",2003-03-07,121.0,85632458,Released,6.4,573,2003
530,Killers,75000000,23.004607,"[{""name"": ""Katalyst Films"", ""id"": 817}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Aversano Films"", ""id"": 60022}]",2010-06-04,100.0,98159963,Released,5.7,772,2010
531,The Man from U.N.C.L.E.,75000000,48.744209000000005,"[{""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Wigram Productions"", ""id"": 23202}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2015-08-13,116.0,108145109,Released,7.1,2265,2015
532,Spanglish,80000000,14.209329,"[{""name"": ""Gracie Films"", ""id"": 18}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}]",2004-12-17,130.0,55041367,Released,5.8,369,2004
533,Monster House,75000000,36.368839,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Sony Pictures Animation"", ""id"": 2251}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}, {""name"": ""ImageMovers"", ""id"": 11395}]",2006-07-21,91.0,140175006,Released,6.3,874,2006
534,Bandits,75000000,24.353302,"[{""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""Empire Pictures"", ""id"": 1212}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Hyde Park Entertainment"", ""id"": 13816}, {""name"": ""Baltimore Spring Creek Productions"", ""id"": 16061}, {""name"": ""Lotus Pictures"", ""id"": 52944}]",2001-10-12,123.0,67631903,Released,6.2,302,2001
536,Anna and the King,75000000,13.327372,"[{""name"": ""Fox 2000 Pictures"", ""id"": 711}]",1999-12-16,148.0,0,Released,6.4,197,1999
537,Immortals,75000000,37.917002000000004,"[{""name"": ""Virgin Produced"", ""id"": 8852}, {""name"": ""Mark Canton Productions"", ""id"": 11761}]",2011-11-10,110.0,226904017,Released,5.7,880,2011
538,Hostage,52000000,23.663713,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Cheyenne Enterprises"", ""id"": 890}, {""name"": ""Yari Film Group"", ""id"": 2448}, {""name"": ""Stratus Film Co."", ""id"": 11027}, {""name"": ""Syndicate Films International"", ""id"": 26947}, {""name"": ""Equity Pictures Medienfonds GmbH & Co. KG II"", ""id"": 26948}, {""name"": ""Hostage GmbH"", ""id"": 26949}]",2005-03-09,113.0,77944725,Released,6.2,512,2005
539,Titan A.E.,75000000,14.443810000000001,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""David Kirschner Productions"", ""id"": 11050}, {""name"": ""Fox Animation Studios"", ""id"": 11231}]",2000-06-16,94.0,36754634,Released,6.3,313,2000
540,Hollywood Homicide,75000000,10.605084,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Revolution Studios"", ""id"": 497}]",2003-06-09,116.0,51142659,Released,5.0,166,2003
542,Carriers,0,12.708963,"[{""name"": ""Paramount Vantage"", ""id"": 838}, {""name"": ""Likely Story"", ""id"": 1785}, {""name"": ""Ivy Boy Productions"", ""id"": 4482}, {""name"": ""This Is That Productions"", ""id"": 10059}]",2009-09-04,84.0,5802422,Released,5.8,282,2009
